#date: 2024-05-19_22:01
#sample: GCF_929608915.1_cpe051_genomic
#mge_finder version: 1.1.2
#mgedb version: 1.1.1
#blastn version: 2.11.0+
mge_no,name,synonyms,prediction,type,allele_len,depth,e_value,identity,coverage,gaps,substitution,contig,start,end,cigar
1,IS609,,predicted,insertion sequence,1644,,0,0.98,0.941,1,32,"NZ_CAKNCF010000001.1 Escherichia coli strain cpe051, whole genome shotgun sequence",562499,564142,M1640 I1 M4
2,ISSen9,,predicted,insertion sequence,768,,0,0.94,1.0,0,46,"NZ_CAKNCF010000001.1 Escherichia coli strain cpe051, whole genome shotgun sequence",224951,225718,M768
3,MITEEc1,,predicted,mite,123,,0.0,0.976,1.0,0,3,"NZ_CAKNCF010000001.1 Escherichia coli strain cpe051, whole genome shotgun sequence",319000,319122,M123
4,MITEEc1,,predicted,mite,123,,0.0,0.984,1.0,0,2,"NZ_CAKNCF010000001.1 Escherichia coli strain cpe051, whole genome shotgun sequence",340944,341066,M123
5,ISSen9,,predicted,insertion sequence,768,,0,0.964,1.0,0,28,"NZ_CAKNCF010000002.1 Escherichia coli strain cpe051, whole genome shotgun sequence",127975,128742,M768
6,MITEEc1,,predicted,mite,123,,0.0,1.0,1.0,0,0,"NZ_CAKNCF010000002.1 Escherichia coli strain cpe051, whole genome shotgun sequence",357425,357547,M123
7,MITEEc1,,predicted,mite,119,,0.0,0.975,0.967,0,3,"NZ_CAKNCF010000002.1 Escherichia coli strain cpe051, whole genome shotgun sequence",113305,113423,M119
8,ISEc8,,predicted,insertion sequence,2289,,0,0.994,0.939,0,13,"NZ_CAKNCF010000003.1 Escherichia coli strain cpe051, whole genome shotgun sequence",344754,347042,M224 N-5 M2070
9,ISSen9,,predicted,insertion sequence,768,,0,0.922,1.0,0,60,"NZ_CAKNCF010000003.1 Escherichia coli strain cpe051, whole genome shotgun sequence",340690,341457,M768
10,MITEEc1,,predicted,mite,122,,0.0,0.878,0.992,1,14,"NZ_CAKNCF010000003.1 Escherichia coli strain cpe051, whole genome shotgun sequence",175261,175382,M78 I1 M44
11,IS609,,predicted,insertion sequence,1748,,0,0.976,1.0,0,42,"NZ_CAKNCF010000004.1 Escherichia coli strain cpe051, whole genome shotgun sequence",79812,81559,M1748
12,MITEYpe1,,predicted,mite,115,,0.0,0.786,0.902,4,21,"NZ_CAKNCF010000005.1 Escherichia coli strain cpe051, whole genome shotgun sequence",294750,294864,M43 D1 M5 I1 M21 I1 M4 D1 M40
