assembly_id, total_num_genes, num_amr_genes, num_amr_genes_inside_mge, num_amr_genes_outside_mge, percentage_of_amr_genes_inside_mge, num_duplicate_amr_genes, num_duplicate_amr_genes_inside_mge, num_duplicate_amr_genes_outside_mge, percentage_of_duplicate_amr_genes_inside_mge, percentage_of_duplicate_amr_genes_outside_mge
GCA_024763995.1,5326,55,13,42,23.636,2,2,0,100.0,0.0
GCA_024764015.1,5174,56,17,39,30.357,8,8,0,100.0,0.0
GCA_024764875.1,5127,50,9,41,18.0,0,0,0,0.0,0.0
GCA_024765025.1,5294,49,7,42,14.286,0,0,0,0.0,0.0
GCA_024765115.1,5021,43,1,42,2.326,0,0,0,0.0,0.0
GCA_024765155.1,5302,53,11,42,20.755,0,0,0,0.0,0.0
GCA_024765175.1,5272,48,5,43,10.417,0,0,0,0.0,0.0
GCA_024765185.1,5291,48,1,47,2.083,2,0,2,0.0,100.0
GCA_024765295.1,4891,46,3,43,6.522,2,0,2,0.0,100.0
GCA_024765305.1,5053,46,4,42,8.696,0,0,0,0.0,0.0
GCA_024765335.1,5055,48,4,44,8.333,3,0,3,0.0,100.0
GCA_024765395.1,5057,49,4,45,8.163,4,0,4,0.0,100.0
GCA_024765435.1,5020,53,7,46,13.208,0,0,0,0.0,0.0
GCA_024765455.1,5203,44,1,43,2.273,0,0,0,0.0,0.0
GCA_024765465.1,5418,50,11,39,22.0,0,0,0,0.0,0.0
GCA_024765485.1,4892,46,3,43,6.522,2,0,2,0.0,100.0
GCA_024765535.1,5134,49,8,41,16.327,0,0,0,0.0,0.0
GCA_024765615.1,5339,54,11,43,20.37,0,0,0,0.0,0.0
GCA_024765655.1,4888,51,5,46,9.804,0,0,0,0.0,0.0
GCA_024765675.1,5007,49,0,49,0.0,0,0,0,0.0,0.0
GCA_024765735.1,4659,47,4,43,8.511,0,0,0,0.0,0.0
GCA_024765775.1,5395,69,24,45,34.783,14,11,3,78.57142857142857,21.428571428571427
GCA_024765795.1,5173,48,10,38,20.833,0,0,0,0.0,0.0
GCA_024765805.1,5227,47,1,46,2.128,0,0,0,0.0,0.0
GCA_024765835.1,5335,56,11,45,19.643,0,0,0,0.0,0.0
GCA_024765855.1,4983,59,3,56,5.085,2,0,2,0.0,100.0
GCA_024765865.1,5139,49,12,37,24.49,0,0,0,0.0,0.0
GCA_024765895.1,4834,42,1,41,2.381,0,0,0,0.0,0.0
GCA_024765905.1,4912,42,0,42,0.0,0,0,0,0.0,0.0
GCA_024765935.1,4835,53,12,41,22.642,0,0,0,0.0,0.0
GCA_024765955.1,5130,44,0,44,0.0,0,0,0,0.0,0.0
GCA_024765975.1,5009,53,11,42,20.755,0,0,0,0.0,0.0
GCA_024765995.1,5015,53,11,42,20.755,0,0,0,0.0,0.0
GCA_024766015.1,5261,56,15,41,26.786,0,0,0,0.0,0.0
GCA_024766035.1,5134,54,13,41,24.074,0,0,0,0.0,0.0
GCA_024766055.1,4672,57,20,37,35.088,0,0,0,0.0,0.0
GCA_024766065.1,4960,51,12,39,23.529,0,0,0,0.0,0.0
GCA_024766095.1,5045,46,4,42,8.696,0,0,0,0.0,0.0
GCA_024766115.1,5173,47,9,38,19.149,2,0,2,0.0,100.0
GCA_024766135.1,4997,53,7,46,13.208,0,0,0,0.0,0.0
GCA_024766155.1,4631,57,12,45,21.053,0,0,0,0.0,0.0
GCA_024766175.1,5378,48,7,41,14.583,0,0,0,0.0,0.0
