assembly_id,total_num_genes,total_num_genes_inside_mges,total_num_genes_outside_mges,percent_total_genes_in_mge,num_duplicate_genes,num_duplicate_genes_inside_mge,num_duplicate_genes_outside_mge,percent_duplicate_genes_in_mge,p_val
GCF_929606205.1,4875,1976,2899,40.533,102,66,36,64.706,2.200e-12
GCF_929606275.1,3811,3065,746,80.425,104,100,4,96.154,1.116e-44
GCF_929606315.1,5411,1534,3877,28.35,241,126,115,52.282,1.023e-23
GCF_929606335.1,4248,1667,2581,39.242,63,33,30,52.381,3.946e-03
GCF_929606345.1,5733,2090,3643,36.456,154,119,35,77.273,4.035e-52
GCF_929606395.1,6229,1601,4628,25.702,249,129,120,51.807,1.279e-28
GCF_929606505.1,5701,2163,3538,37.941,139,120,19,86.331,6.080e-78
GCF_929606745.1,4692,1500,3192,31.969,64,46,18,71.875,1.333e-19
GCF_929606855.1,3471,43,3428,1.239,38,1,37,2.632,3.729e-01
GCF_929607075.1,3707,848,2859,22.876,52,21,31,40.385,6.268e-04
GCF_929607135.1,5542,1140,4402,20.57,57,24,33,42.105,9.803e-06
GCF_929608395.1,5033,1668,3365,33.141,138,92,46,66.667,2.647e-28
GCF_929608445.1,5900,1247,4653,21.136,111,68,43,61.261,2.031e-30
GCF_929608665.1,5315,2067,3248,38.89,166,121,45,72.892,1.394e-38
GCF_929608675.1,4555,2506,2049,55.016,106,70,36,66.038,2.421e-04
GCF_929608695.1,5030,377,4653,7.495,197,11,186,5.584,3.560e-01
GCF_929608895.1,5350,1178,4172,22.019,52,23,29,44.231,1.488e-05
GCF_929608915.1,4712,1224,3488,25.976,93,51,42,54.839,8.106e-14
GCF_929608935.1,5408,2293,3115,42.4,97,66,31,68.041,1.009e-13
GCF_929609415.1,5497,1639,3858,29.816,142,92,50,64.789,1.654e-30
GCF_929614415.1,5660,1433,4227,25.318,96,43,53,44.792,3.210e-07
GCF_929614515.1,4886,2562,2324,52.436,89,69,20,77.528,7.239e-16
GCF_929614685.1,6293,712,5581,11.314,68,28,40,41.176,1.110e-12
GCF_929614725.1,5649,1937,3712,34.289,175,82,93,46.857,7.932e-06
GCF_929614905.1,5238,1708,3530,32.608,208,101,107,48.558,5.296e-10
GCF_929614925.1,5116,2027,3089,39.621,162,91,71,56.173,4.679e-09
GCF_929614975.1,5536,2155,3381,38.927,54,32,22,59.259,3.629e-05
GCF_929615215.1,3727,1953,1774,52.401,39,25,14,64.103,2.041e-02
GCF_929615265.1,5398,923,4475,17.099,93,35,58,37.634,3.654e-08
GCF_929615335.1,5360,3100,2260,57.836,262,193,69,73.664,1.325e-19
GCF_929616755.1,4835,2398,2437,49.597,115,70,45,60.87,2.576e-04
GCF_929616985.1,5003,571,4432,11.413,176,35,141,19.886,2.871e-04
GCF_929617035.1,5104,904,4200,17.712,49,27,22,55.102,1.272e-12
GCF_929617055.1,4896,2276,2620,46.487,149,93,56,62.416,1.045e-08
GCF_929617065.1,5491,981,4510,17.866,94,33,61,35.106,4.572e-06
GCF_929617075.1,5516,1957,3559,35.479,62,42,20,67.742,6.795e-13
GCF_929617105.1,5383,1693,3690,31.451,69,36,33,52.174,3.464e-06
GCF_929617655.1,5782,2059,3723,35.611,171,106,65,61.988,7.555e-22
GCF_929618175.1,4589,1208,3381,26.324,77,46,31,59.74,2.442e-15
GCF_929618185.1,3909,252,3657,6.447,97,16,81,16.495,1.905e-04
GCF_929618195.1,5559,1918,3641,34.503,63,40,23,63.492,1.675e-10
GCF_929618205.1,5114,1080,4034,21.118,128,95,33,74.219,3.543e-64
GCF_929618215.1,6218,1493,4725,24.011,237,125,112,52.743,7.853e-33
GCF_929618295.1,5103,623,4480,12.209,41,4,37,9.756,8.242e-01
GCF_929618315.1,5318,1870,3448,35.164,143,88,55,61.538,2.096e-18
GCF_929618325.1,6688,1553,5135,23.221,85,26,59,30.588,5.639e-02
GCF_929618345.1,3829,1759,2070,45.939,109,89,20,81.651,2.202e-35
GCF_929618365.1,5044,1070,3974,21.213,89,45,44,50.562,9.873e-14
GCF_929618375.1,5117,1965,3152,38.401,145,90,55,62.069,8.985e-16
GCF_929618435.1,5482,1866,3616,34.039,56,39,17,69.643,4.619e-14
GCF_929618485.1,4113,634,3479,15.415,134,54,80,40.299,5.394e-16
GCF_929618495.1,5457,1220,4237,22.357,139,56,83,40.288,1.092e-08
GCF_929618575.1,5125,3254,1871,63.493,163,108,55,66.258,1.946e-01
GCF_929618755.1,5288,2865,2423,54.179,228,149,79,65.351,6.822e-08
GCF_929618805.1,5539,1590,3949,28.706,90,46,44,51.111,1.211e-08
GCF_929618815.1,5444,915,4529,16.807,92,35,57,38.043,1.460e-08
GCF_929618855.1,5403,1479,3924,27.374,71,34,37,47.887,4.301e-06
GCF_929618865.1,5540,1724,3816,31.119,61,36,25,59.016,3.220e-09
GCF_929618875.1,5773,1831,3942,31.717,84,52,32,61.905,3.691e-14
GCF_929618885.1,5740,1590,4150,27.7,156,119,37,76.282,4.472e-68
GCF_929618905.1,6359,1046,5313,16.449,171,42,129,24.561,1.770e-03
GCF_929618915.1,3658,248,3410,6.78,60,9,51,15.0,1.320e-02
GCF_929618925.1,3784,1269,2515,33.536,121,56,65,46.281,1.774e-04
GCF_929618965.1,5439,1391,4048,25.575,53,21,32,39.623,5.669e-03
GCF_929619005.1,5168,1329,3839,25.716,78,41,37,52.564,2.226e-10
