assembly_id, num_genes, num_genes_inside_mges, num_genes_outside_mges, all_genes_intersection_percentage, num_amr_genes, num_amr_genes_inside_mge, num_amr_genes_outside_mge, amr_genes_intersection_percentage, p_value
GCA_024763995.1,5326,531,4795,9.97,55,13,42,23.636,1.015e-03
GCA_024764015.1,5174,738,4436,14.264,56,17,39,30.357,3.925e-04
GCA_024764875.1,5127,338,4789,6.593,50,9,41,18.0,2.869e-03
GCA_024765025.1,5294,713,4581,13.468,49,7,42,14.286,8.423e-01
GCA_024765115.1,5021,231,4790,4.601,43,1,42,2.326,7.282e-01
GCA_024765155.1,5302,362,4940,6.828,53,8,45,15.094,1.918e-02
GCA_024765175.1,5272,275,4997,5.216,48,5,43,10.417,9.084e-02
GCA_024765185.1,5291,284,5007,5.368,48,1,47,2.083,5.315e-01
GCA_024765295.1,4891,150,4741,3.067,46,3,43,6.522,1.563e-01
GCA_024765305.1,5053,347,4706,6.867,46,4,42,8.696,5.584e-01
GCA_024765335.1,5055,344,4711,6.805,48,4,44,8.333,5.688e-01
GCA_024765395.1,5057,319,4738,6.308,49,4,45,8.163,5.528e-01
GCA_024765435.1,5020,467,4553,9.303,53,7,46,13.208,2.473e-01
GCA_024765455.1,5203,277,4926,5.324,44,1,43,2.273,7.387e-01
GCA_024765465.1,5418,324,5094,5.98,50,11,39,22.0,5.190e-05
GCA_024765485.1,4892,150,4742,3.066,46,3,43,6.522,1.563e-01
GCA_024765535.1,5134,286,4848,5.571,49,8,41,16.327,3.332e-03
GCA_024765615.1,5339,616,4723,11.538,54,11,43,20.37,3.143e-02
GCA_024765655.1,4888,384,4504,7.856,51,5,46,9.804,6.041e-01
GCA_024765675.1,5007,107,4900,2.137,49,0,49,0.0,6.313e-01
GCA_024765735.1,4659,145,4514,3.112,47,4,43,8.511,5.078e-02
GCA_024765775.1,5395,892,4503,16.534,69,24,45,34.783,1.863e-05
GCA_024765795.1,5173,553,4620,10.69,48,10,38,20.833,2.819e-02
GCA_024765805.1,5227,285,4942,5.452,47,1,46,2.128,5.311e-01
GCA_024765835.1,5335,421,4914,7.891,56,11,45,19.643,2.035e-03
GCA_024765855.1,4983,152,4831,3.05,59,2,57,3.39,7.012e-01
GCA_024765865.1,5139,282,4857,5.487,49,12,37,24.49,2.395e-06
GCA_024765895.1,4834,214,4620,4.427,42,1,41,2.381,1.000e+00
GCA_024765905.1,4912,342,4570,6.963,42,0,42,0.0,8.301e-02
GCA_024765935.1,4835,363,4472,7.508,53,12,41,22.642,1.674e-04
GCA_024765955.1,5130,187,4943,3.645,44,0,44,0.0,4.209e-01
GCA_024765975.1,5009,468,4541,9.343,53,11,42,20.755,4.842e-03
GCA_024765995.1,5015,482,4533,9.611,53,11,42,20.755,6.066e-03
GCA_024766015.1,5261,526,4735,9.998,56,15,41,26.786,7.607e-05
GCA_024766035.1,5134,434,4700,8.453,54,13,41,24.074,1.483e-04
GCA_024766055.1,4672,437,4235,9.354,57,20,37,35.088,3.567e-09
GCA_024766065.1,4960,293,4667,5.907,51,12,39,23.529,8.892e-06
GCA_024766095.1,5045,352,4693,6.977,46,4,42,8.696,5.630e-01
GCA_024766115.1,5173,254,4919,4.91,47,8,39,17.021,1.076e-03
GCA_024766135.1,4997,451,4546,9.025,53,7,46,13.208,2.334e-01
GCA_024766155.1,4631,352,4279,7.601,57,8,49,14.035,6.930e-02
GCA_024766175.1,5378,506,4872,9.409,48,7,41,14.583,2.120e-01
GCA_024766195.1,4808,379,4429,7.883,50,11,39,22.0,6.500e-04
GCA_024766215.1,4976,450,4526,9.043,51,11,40,21.569,2.586e-03
GCA_024766235.1,5058,470,4588,9.292,52,11,41,21.154,3.888e-03
GCA_024766255.1,5113,444,4669,8.684,51,11,40,21.569,1.842e-03
GCA_024766275.1,5214,165,5049,3.165,43,0,43,0.0,6.544e-01
GCA_024766295.1,5014,81,4933,1.615,45,3,42,6.667,3.222e-02
GCA_024766305.1,5360,463,4897,8.638,55,13,42,23.636,2.354e-04
